prefecture,name,url
東京都,赤羽・板橋・王子・巣鴨,https://beauty.hotpepper.jp/svcSA/macJB/salon/
茨城県,水戸・ひたちなか・日立・茨城,https://beauty.hotpepper.jp/svcSA/macJP/salon/
愛知県,八事・平針・瑞穂・野並すべて,https://beauty.hotpepper.jp/svcSC/macCH/salon/
東京都,下北沢・成城学園・向ヶ丘遊園・新百合ヶ丘,https://beauty.hotpepper.jp/svcSA/macAX/salon/
滋賀県,滋賀,https://beauty.hotpepper.jp/svcSB/macBP/salon/
東京都,八王子・立川・国立・多摩・日野・福生・秋川,https://beauty.hotpepper.jp/svcSA/macAK/salon/
北海道,旭川,https://beauty.hotpepper.jp/svcSD/macDB/salon/
奈良県,奈良,https://beauty.hotpepper.jp/svcSB/macBJ/salon/
神奈川県,三軒茶屋・二子玉川・溝の口・青葉台,https://beauty.hotpepper.jp/svcSA/macAY/salon/
東京都,恵比寿・広尾・六本木・麻布・赤坂,https://beauty.hotpepper.jp/svcSA/macAC/salon/
新潟県,その他新潟県,https://beauty.hotpepper.jp/svcSH/macHE/salon/
愛知県,名駅・栄・金山・御器所・本山・大曽根,https://beauty.hotpepper.jp/svcSC/macCA/salon/
神奈川県,センター南・二俣川・戸塚・杉田・金沢文庫,https://beauty.hotpepper.jp/svcSA/macJM/salon/
千葉県,千葉・稲毛・幕張・鎌取・都賀,https://beauty.hotpepper.jp/svcSA/macAM/salon/
大阪府,江坂・千里中央・十三・豊中・池田・箕面・新大阪・吹田,https://beauty.hotpepper.jp/svcSB/macBC/salon/
岐阜県,岐阜,https://beauty.hotpepper.jp/svcSC/macCB/salon/
北海道,室蘭,https://beauty.hotpepper.jp/svcSD/macDE/salon/sacX490/
